,LSOA,population_per_hectare
520,E01032553,2.7
521,E01012030,25.2
522,E01012031,23.2
523,E01012032,33.9
524,E01012033,36.2
525,E01012034,10.1
526,E01012035,29.6
527,E01012062,29.6
528,E01012063,49.6
529,E01012064,9.5
530,E01012071,26.9
531,E01012073,35.8
532,E01032593,3.5
533,E01027356,0.2
534,E01027357,7.2
535,E01027366,0.3
536,E01027367,0.9
537,E01027358,1.3
538,E01027359,50.4
539,E01033715,41.4
540,E01033717,17.0
541,E01027361,29.2
542,E01027362,1.4
543,E01027363,19.3
544,E01027364,9.4
545,E01027370,0.5
546,E01027371,1.3
547,E01027372,0.5
548,E01027365,0.1
549,E01027368,0.1
550,E01027369,2.6
551,E01027373,0.0
552,E01027376,10.4
553,E01027377,17.7
554,E01027385,47.5
555,E01027387,15.6
556,E01027388,26.3
557,E01027389,15.1
558,E01027378,0.6
559,E01027379,0.9
560,E01027380,0.2
561,E01027382,0.2
562,E01027386,7.8
563,E01027374,0.3
564,E01027375,0.0
565,E01027381,0.1
566,E01027383,2.9
567,E01027384,0.3
568,E01027390,1.5
569,E01027392,16.7
570,E01027393,61.4
571,E01027416,69.1
572,E01027424,25.0
573,E01027414,84.3
574,E01027415,34.7
575,E01027431,58.6
576,E01027441,27.6
577,E01027442,34.0
578,E01027391,44.0
579,E01027422,55.3
580,E01027423,46.0
581,E01027429,47.4
582,E01027430,49.8
583,E01027425,5.0
584,E01027426,12.1
585,E01027427,4.4
586,E01027428,41.9
587,E01027437,43.0
588,E01027438,67.2
589,E01027439,41.8
590,E01027440,7.7
591,E01027400,54.1
592,E01027401,41.0
593,E01027402,41.5
594,E01027403,31.1
595,E01027398,6.7
596,E01027409,20.5
597,E01027411,51.9
598,E01027412,1.6
599,E01027413,12.3
600,E01027395,13.8
601,E01027396,57.6
602,E01027397,45.7
603,E01027399,54.7
604,E01027404,19.6
605,E01027405,51.5
606,E01027417,2.1
607,E01027418,16.1
608,E01027419,21.8
609,E01027420,3.5
610,E01027421,8.5
611,E01027394,27.7
612,E01027406,14.4
613,E01027407,47.5
614,E01027408,38.0
615,E01027410,18.0
616,E01027432,41.2
617,E01027433,2.3
618,E01027434,31.2
619,E01027435,7.2
620,E01027436,4.3
621,E01027443,37.0
622,E01027444,1.1
623,E01027445,1.0
624,E01027446,15.4
625,E01027451,13.3
626,E01027474,19.4
627,E01027475,0.5
628,E01027457,7.5
629,E01027462,14.9
630,E01027463,1.2
631,E01027447,0.1
632,E01027448,0.4
633,E01027450,0.2
634,E01027473,0.3
635,E01027452,8.6
636,E01027453,26.3
637,E01027461,50.5
638,E01033718,39.1
639,E01027455,12.7
640,E01027456,15.2
641,E01027458,12.1
642,E01027460,38.1
643,E01027464,10.9
644,E01027465,0.8
645,E01027466,34.7
646,E01033714,1.0
647,E01027449,0.8
648,E01027468,15.4
649,E01027469,5.8
650,E01027471,1.7
651,E01027472,0.2
652,E01027479,0.1
653,E01027480,0.1
654,E01027503,0.0
655,E01027511,0.1
656,E01027484,0.1
657,E01027485,2.3
658,E01027486,14.8
659,E01027487,2.1
660,E01027512,0.0
661,E01027483,0.3
662,E01027496,5.4
663,E01027508,1.8
664,E01027513,4.9
665,E01027476,1.9
666,E01027489,6.6
667,E01027490,39.6
668,E01027491,1.1
669,E01027492,38.0
670,E01027493,33.8
671,E01027494,4.4
672,E01027497,9.9
673,E01027498,24.8
674,E01027499,3.6
675,E01027500,40.5
676,E01027501,37.0
677,E01027502,34.4
678,E01027481,0.8
679,E01027482,18.0
680,E01027504,0.5
681,E01027506,0.1
682,E01027507,0.9
683,E01027509,5.7
684,E01027477,0.1
685,E01027478,2.5
686,E01027488,0.3
687,E01027495,0.3
688,E01027505,0.1
689,E01027510,0.3
690,E01027541,24.4
691,E01027542,3.4
692,E01027543,5.9
693,E01027544,48.2
694,E01027528,41.5
695,E01027529,26.1
696,E01027539,73.2
697,E01027545,68.2
698,E01027546,89.4
699,E01027533,49.8
700,E01027540,4.3
701,E01027549,14.8
702,E01033716,18.8
703,E01027524,15.9
704,E01027525,1.6
705,E01027526,33.5
706,E01027527,59.2
707,E01027536,40.1
708,E01027532,18.2
709,E01027537,58.2
710,E01027538,21.0
711,E01027530,17.3
712,E01027531,3.9
713,E01027534,32.1
714,E01027535,28.3
715,E01027553,5.5
716,E01027554,34.5
717,E01027515,38.6
718,E01027517,13.0
719,E01027518,41.0
720,E01027519,48.7
721,E01027550,25.0
722,E01027551,39.9
723,E01027552,1.5
724,E01027514,5.0
725,E01027516,23.1
726,E01027520,19.9
727,E01027521,2.4
728,E01027522,14.2
729,E01027523,24.2
730,E01012100,38.5
731,E01012101,39.5
732,E01012102,83.8
733,E01012184,55.9
734,E01012105,35.5
735,E01012142,39.2
736,E01012143,67.3
737,E01012144,45.6
738,E01012106,50.0
739,E01012107,0.8
740,E01032560,0.7
741,E01032561,28.2
742,E01012176,38.4
743,E01012177,36.8
744,E01012178,21.1
745,E01012179,29.2
746,E01012180,55.0
747,E01012185,77.3
748,E01012186,32.2
749,E01012127,59.4
750,E01012128,50.7
751,E01012129,47.7
752,E01012130,37.0
753,E01012131,39.6
754,E01012138,3.9
755,E01012139,37.9
756,E01012140,23.8
757,E01012141,16.5
758,E01012154,46.3
759,E01012155,5.6
760,E01012156,42.5
761,E01012157,41.4
762,E01012158,13.2
763,E01012159,60.5
764,E01012160,15.6
765,E01012161,18.2
766,E01012113,57.3
767,E01012114,27.7
768,E01012175,69.5
769,E01033471,18.4
770,E01012095,2.6
771,E01012097,16.4
772,E01012098,9.9
773,E01012099,29.7
774,E01012108,60.2
775,E01012109,5.0
776,E01012110,65.1
777,E01012111,52.3
778,E01012171,43.1
779,E01012172,57.8
780,E01012162,15.2
781,E01012163,6.7
782,E01012164,1.8
783,E01012165,30.7
784,E01012096,7.7
785,E01012136,23.3
786,E01033473,15.4
787,E01012112,13.7
788,E01012145,49.7
789,E01012147,38.6
790,E01012149,10.4
791,E01012132,0.7
792,E01012134,1.1
793,E01012137,0.6
794,E01012181,1.9
795,E01012117,23.2
796,E01012118,82.1
797,E01012119,1.1
798,E01012121,16.5
799,E01032548,16.7
800,E01032549,21.9
